id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
87635,Confessions of an English Opium Eater,50325,Thomas de Quincey,1821,3.29,6291,455
178629,Benito Cereno,1624,Herman Melville,1855,3.6,5644,371
110077,A Pair of Blue Eyes,15905,Thomas Hardy,1873,3.76,6214,304
38747,Roughing It,1244,Mark Twain,1872,3.88,7267,687
252981,The Collected Tales of Nikolai Gogol,232932,Nikolai Gogol,1835,4.35,12403,252
24601,Paris Spleen,13847,Charles Baudelaire,1869,4.31,9018,289
49190,Uncle Silas,26930,J. Sheridan Le Fanu,1864,3.74,5230,385
210255,Against Nature,123088,Joris-Karl Huysmans,1884,3.87,8740,579
383018,Arms and the Man,5217,George Bernard Shaw,1894,3.86,6989,317
1109858,East Lynne,1779542,Mrs. Henry Wood,1861,3.69,4005,170
827685,Up from Slavery,84278,Booker T. Washington,1900,4.09,20506,1021
67762,Salomé,3565,Oscar Wilde,1891,3.7,9883,485
566328,The Betrothed,136729,Alessandro Manzoni,1840,3.77,5183,333
210190,The Double,3137322,Fyodor Dostoyevsky,1846,3.7,12773,786
11026,Barnaby Rudge,239579,Charles Dickens,1841,3.8,8199,425
122648,A Woman of No Importance,3565,Oscar Wilde,1894,3.87,9014,445
1249630,Os Maias,6913270,Eça de Queirós,1888,4.0,14265,420
341281,The Woodlanders,15905,Thomas Hardy,1887,3.84,12902,451
146943,The Toilers of the Sea,13661,Victor Hugo,1866,4.08,2648,228
535856,The Diary of a Nobody,30762,George Grossmith,1892,3.71,11080,805
526187,The Prime Minister (Palliser #5),20524,Anthony Trollope,1876,4.07,2132,142
17554,Under the Lilacs,1315,Louisa May Alcott,1878,3.74,4193,190
682793,Pudd'nhead Wilson,1244,Mark Twain,1893,3.74,14711,941
32827,"From the Earth to the Moon (Extraordinary Voyages, #4)",696805,Jules Verne,1865,3.78,20072,695
5700,The Adolescent,3137322,Fyodor Dostoyevsky,1875,3.94,4867,257
122649,Lady Windermere's Fan,3565,Oscar Wilde,1893,3.91,16560,711
374380,"The Duke's Children (Palliser, #6)",20524,Anthony Trollope,1880,4.04,1837,136
1706738,Teutonic Mythology Vol. 1,2938140,Jacob Grimm,1835,4.31,54,2
408862,The Golden Bough,1211478,James George Frazer,1890,4.02,7163,257
143988,Jabberwocky,8164,Lewis Carroll,1872,4.14,1565,169
185407,The Descent of Man,12793,Charles Darwin,1871,4.05,3460,99
294395,Tennyson's Poetry,13638502,Alfred Tennyson,1833,4.07,7497,32
69413,La Regenta,5780534,Leopoldo Alas,1885,3.97,2438,114
782519,New Grub Street,4532116,George Gissing,1891,3.73,5130,241
223634,The Master Builder,2730977,Henrik Ibsen,1892,3.79,2925,112
6488667,Brigitta ,13018,Adalbert Stifter,1847,3.7,399,25
82888,Dom Casmurro,22458,Machado de Assis,1899,4.25,14527,454
444374,"The Story of the Treasure Seekers (Bastable Children, #1)",7935185,E. Nesbit,1899,3.94,5102,253
448781,The Old Regime and the French Revolution,465,Alexis de Tocqueville,1856,4.04,1386,80
93007,The Merry Adventures of Robin Hood,53350,Howard Pyle,1883,4.06,55407,825
5304,De Profundis and Other Writings,3565,Oscar Wilde,1897,4.21,2254,91
149789,The Last Chronicle of Barset (Chronicles of Barsetshire #6),20524,Anthony Trollope,1867,4.15,4719,244
445747,"The World as Will and Representation, Vol 2",11682,Arthur Schopenhauer,1818,4.21,4196,36
28420,"The Earth (Les Rougon-Macquart, #15)",4750,Émile Zola,1887,4.08,1303,98
43150,Twilight of the Idols/The Anti-Christ,1938,Friedrich Nietzsche,1889,4.15,7107,167
